feedback_text,submission_date,course_id
The course allowed me to grow as a Christian and was one of the few classes I looked forward to attending.,12/15/2024,BIB105
"I really enjoyed his class. I liked how the book provided more information about the topics discussed in class. I also like the part where he makes everybody engage at least once in his class, which makes it more fun.",12/15/2024,BIB105
The importance of self-reflection encouraged me to grow through my bible understanding to see where I was lacking in my biblical life.,12/15/2024,BIB105
Dr. Jones has made the course very meaningful and interesting encouraging interaction in class and working hand in hand with the students so that learning is at the utmost priority.,12/15/2024,BIB105
I felt like this course was so helpful; as a person who grew up on the bible but wasn't as close to it in my teens it became my favorite class at Corban. I found it very helpful.,12/15/2024,BIB105
The push for students to go beyond what they knew - regardless of where they were and what they knew at the beginning of the semester - and gain a deeper understanding of the Bible. I don't believe a single student in my class left without having some sort of eye-opening experience about how they approached the Bible and their study of it.,12/15/2024,BIB105
The class was very interactive and engaging. I was always thinking about something in a way I hadn't thought about before.,12/15/2024,BIB105
Learning the Book of Jonah and Jude. Both stories were great to learn and dissect!,12/15/2024,BIB105
Allen knows how to help students understand his course materials effectively and strategically. He gets everyone involved in class and it serves to be beneficial for individual students and the class as a whole.,12/15/2024,BIB105
"The connection he made with our class. Allen Jones engaged the class very well and it seemed important to him to know each of us and to understand the class. He explained everything very well, so learning was easier to process and it made going to class something I looked forward.",12/15/2024,BIB105
I loved the way Allen taught it. The class made me look at the Bible from a different perspective and what I will need to be doing when I read the Bible.,12/15/2024,BIB105
The most meaningful part of this course was the ENCOURAGEMENT the class received from Allen. He assured us that we are completely capable of studying the Bible on our own so long as we apply the methods we've learned.,12/15/2024,BIB105
The connections made with real word examples really helped me understand topics that may otherwise be confusing.,12/15/2024,BIB105
"The most meaningful parts of the course were when we went over the book of Jonah initially. Student participation was highly encouraged and we got to see everyone's perspectives pre-reading the book of Jonah. Around the midterm, after learning about Jonah for months, we circled back around and had a similar discussion with very different results! It was crazy to see the premier and exponential growth not just in myself but also in my classmates on how to interpret not just Jonah, but the Bible in general.",12/15/2024,BIB105
"The lecture is always the most interesting part of class, as i found the required readings to be busy work. I throughly enjoys the class discussion",12/15/2024,BIB105
"I found this entire course very valuable. It was extremely helpful and taught me a lot about how to read and share the bible in a beneficial way. And overall, good life lessons were taught.",12/15/2024,BIB105
It was cool to grow up with the Bible my whole life and now have a better understanding of how to read and interpret it.,12/15/2024,BIB105
I greatly appreciated Professor Jones' enthusiasm about the course matter and I felt like I was able to learn very effectively under him.,12/15/2024,BIB105
The most meaningful part of this course was the application and relation from what we were learning in class to how we read the Bible. I am now ore equipped in my ability to study the Bible,12/15/2024,BIB105
I loved the way that Allen Jones conveyed the entire class into a discussion. It is almost impossible not to learn in Allen's class. An amazing teacher and human being that God blessed me in having as my professor.,12/15/2024,BIB105
Class dicussion,12/15/2024,BIB105
I have nothing it was by far my favorite class Allen made it fun and enjoyable.,12/15/2024,BIB105
Maybe more of a variety in assignments.,12/15/2024,BIB105
"None, a hard subject taught in a easy manner.",12/15/2024,BIB105
none,12/15/2024,BIB105
Nothing really at all Allen covers all bases of learning on the matter that I can think of.,12/15/2024,BIB105
"Nah, no complaints here",12/15/2024,BIB105
"I have no suggestions in how to improve this course. I thoroughly enjoyed the experience and what I learned,",12/15/2024,BIB105
I suggest discussing the book a little in class; it would make it easier to connect the two.,12/15/2024,BIB105
I honestly don't have suggestions for improvement. I thought this course was amazing.,12/15/2024,BIB105
Nothing. The layout and setup of the class were awesome and very easy to understand.,12/15/2024,BIB105
"Nothing, this was my favorite class I had this semester and everything was done very well.",12/15/2024,BIB105
"I have no suggestions as I thought this course was exploratory in my learning. I could see more books from the Bible being added to the course, but at the same time, it may overwhelm students. Being able to learn so much from two books was, while challenging, very doable and effective.",12/15/2024,BIB105
I have no suggestions!,12/15/2024,BIB105
"NO, i actually loved how he structured the class and made it where everyone could learn about the bible.",12/15/2024,BIB105
"I don't think it would be fair to offer any, since this was the last semester. It was a fantastic class, and I think we'll all be sad to see you go.",12/15/2024,BIB105
I recommend every Corban Student to take this class.,12/15/2024,BIB105
Allen Jones was an amazing professor. He engaged with the whole class and his style of teaching kept the class engaged throughout the whole class duration. The way he teaches breaks down the lesson in a way that is easy to understand.,12/15/2024,BIB105
"Professor Jones is one of my favorite professors here. He encourages everyone in the class to participate, which helps everyone better understand the material he is teaching.",12/15/2024,BIB105
none,12/15/2024,BIB105
"Thank you, Professor Jones!",12/15/2024,BIB105
"Nah, I'd win",12/15/2024,BIB105
"Dr. Jones is the best professor I have had in my time at Corban and the best teacher I have had in my life. Dr. Jones makes every class meaningful and makes you feel like you need/want to be in class otherwise there might be some important information you will miss. No dull spots in the class everything is related and important. Dr. Jones also cares immensely about the students learning the material rather than anything on his own. You can tell he cares about the student's learning and understanding. Dr. Jones is also the most intelligent person in his field, and you can tell he is passionate about what he knows making every class feel like he really does care (which he does!). I really couldn't give enough praise to Dr. Jones because he has really changed the way I view classes and gave me a fresh look at biblical classes in general. Dr. Jones has made me pivot in my academic career and that speaks numbers as opposed to any grade I could ever get.",12/15/2024,BIB105
being called on randomly throughout the semester made me pretty anxious,12/15/2024,BIB105
"Thank you for making a tough class fun, I'm sorry that I won't have you for the other three and a half years of my college, but know that you'll live on somewhere in my memory. Best of luck in your future, someone is going to be incredibly lucky to land you as a professor - Kenny.",12/15/2024,BIB105
Allen is an amazing well depth professor on this subject. Allen is truly a treasure trove of knowledge regarding the Bible.,12/15/2024,BIB105
"I loved this class; it was my favorite class of the semester. Allen made everyone feel heard, valued our participation and knew us by name, which is rare. It was engaging and fun and forced us to use our thinking skills. It was centered around the Bible, and we always took prayer requests at the beginning of class, which was very encouraging and helped me get to know my classmates better. Overall, this class taught me so much, and I had a great time.",12/15/2024,BIB105
"I liked how the instructor made everybody talk and moved us around, which made people talk to others they normally wouldn't talk to and then made the classroom more cohesive.",12/15/2024,BIB105
none,12/15/2024,BIB105
"If I could take another Allen Jones class, I would in a heartbeat. There was not a single class where I didn't want to go because I knew that every class period was going to be fun and action filled. He even made less active classes (more lecture filled classes) fun to be in. He speaks to students in a way they will understand and relate to. I loved Allen's personality and the joy he filled the room with was contagious.",12/15/2024,BIB105
"Allen's great and he built a relationship with everyone in the class. He clearly knew what he was talking about, and it's sad to see him go.",12/15/2024,BIB105
AMAZING TEACHER! :),12/15/2024,BIB105
"I absolutely loved and enjoyed this class, I feel as though I am ready to accomplish any biblical task I may find myself in.",12/15/2024,BIB105
